timestamp,ipAddress,abuseConfidenceScore,countryCode,domain,totalReports,lastReportedAt
2026-05-21 11:39:00,85.217.149.10,100,CA,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:39:00,149.54.62.66,100,AF,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:39:00,72.62.8.16,100,BR,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:39:00,45.148.10.157,100,NL,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:39:00,210.156.0.132,100,JP,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:39:00,4.206.92.183,100,CA,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:39:00,150.5.169.138,100,HK,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:39:00,3.235.91.146,100,US,,0,2026-05-21T04:17:01+00:00
2026-05-21 11:39:00,179.176.210.17,100,BR,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,146.88.241.99,100,US,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,89.37.117.16,100,RO,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,102.23.122.235,100,ZM,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,79.76.58.113,100,SE,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,181.78.115.133,100,CR,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,194.247.164.234,100,MD,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,2.57.121.112,100,RO,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,45.156.128.66,100,NL,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,88.147.30.59,100,IT,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,222.107.254.94,100,KR,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,147.185.132.39,100,US,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,20.206.78.203,100,BR,,0,2026-05-21T04:17:00+00:00
2026-05-21 11:39:00,89.152.93.120,100,PT,,0,2026-05-21T04:16:59+00:00
2026-05-21 11:39:00,213.209.159.56,100,DE,,0,2026-05-21T04:16:59+00:00
2026-05-21 11:39:00,45.142.193.212,100,NL,,0,2026-05-21T04:16:59+00:00
